Job-Title,skills,skills2,skills3,skills4,skills5,skills6,skills7,skills8
Senior Data Scientist,python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics
Senior Data Scientist,Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow
Applied Data Scientist / ML Senior Engineer (Python / SQL),Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP
Data Scientist,python, machine learning, Data Science, data analysis, aws, azure,,
Data Scientist,IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning
Principal Data Scientist,Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning
Data Scientist,Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics
Expert Data Scientist,team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science
Data Scientist,Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence
Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL
Senior Data Scientist - Machine Learning,Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source
Data Scientist / Senior Data Scientist,Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning
Sr Data Scientist,Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum
Senior Data Scientist,database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS
Senior Data Scientist,Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval
Lead Python Data Scientist,CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS
Senior Data Scientist Grade12,Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks
Senior Data Scientist Grade12,data science, E-commerce, Statistics,,,,,
Sr. Analyst - Applied Data Scientist,python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny
Data Scientist V,IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science
"Manager, Data Scientist/AI and Machine Learning Specialist",Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization
Digital-Process Manager-Data Scientist PM,Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest
Associate Data Scientist,data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC
Senior Data Scientist,python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript
Senior Data Scientist,Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL
Junior Data Analyst/ Scientist- Fresher Position,Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python,,
Sr. Clinical Data Programming Scientist,SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials
"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring
Senior Data Scientist,Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data
Digital-Senior Process Manager- Data Scientist SPM,Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics
Data Scientist,Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data
Data Scientist - Machine learning AI,Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science
DATA SCIENTIST,Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence
Principal Data Scientist - Digital Marketing,Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source
Manager Applied Data Scientist,Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python
Sr Data Scientist and Engineer,machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau
Data Scientist/ Sr Data Scientist,Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R
"Manager, Lead Data Scientist (R CoE)",Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML
Data Scientist: Artificial Intelligence,Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment,
Data Scientist (AVP & Manager Roles),Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning,,,
Principal Data Scientist,Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS
Data Scientist,AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree
Data Scientist: Advanced Analytics,Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing
Data Scientist: Artificial Intelligence,Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration
"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)",Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie
VP-Data Scientist-AI/ML with Leading Investment Bank,Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning
Senior Data Scientist,IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks
Cognitive/AI Senior Data Scientist,Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR
Analyst - Applied Data Scientist,python, Tableau, SQL,,,,,
Research Data Scientist,Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL
Freshers For Junior Data Scientist,Statistical Modeling, R Program,,,,,,
Lead - Data Scientist,data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau
Data Scientist / Analyst,Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services
Data Scientist - Machine Learning/APICS,Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python
Data Scientist,python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying
Assistant Manager/Manager/Senior Manager - Data Scientist,R, SAS, Data Scientist, analytics, analytical skills, Machine Learning,,
Senior Data Scientist,Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL
Job Opportunity || Data Scientist || HCL Technologies,machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN
Clinical Data Management Scientist,SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming
Data Scientist: Advanced Analytics,Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics
Data Scientist - KONE India Pvt. LTD,python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization
Data Scientist,Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence
Data Scientist - Leading Analytics Product Company in Mumbai,Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C
Data Scientist - R/Python,Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL
Data Scientist - Machine Learning,Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm
Sr. Data Scientist,analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM
